date,factom,nxt,bitcoin,isPartial
2015-12-05 22:00:00,0,35,90,False
2015-12-05 23:00:00,0,35,98,False
2015-12-06 00:00:00,0,33,99,False
2015-12-06 00:00:00,0,15,44,False
2015-12-06 01:00:00,0,16,43,False
2015-12-06 02:00:00,0,16,44,False
2015-12-06 03:00:00,0,17,42,False
2015-12-06 04:00:00,0,15,45,False
2015-12-06 05:00:00,0,15,45,False
2015-12-06 06:00:00,0,15,39,False
2015-12-06 07:00:00,0,15,34,False
2015-12-06 08:00:00,0,12,33,False
2015-12-06 09:00:00,0,12,36,False
2015-12-06 10:00:00,0,11,32,False
2015-12-06 11:00:00,0,11,33,False
2015-12-06 12:00:00,0,11,34,False
2015-12-06 13:00:00,0,11,31,False
2015-12-06 14:00:00,0,13,38,False
2015-12-06 15:00:00,0,13,34,False
2015-12-06 16:00:00,0,13,35,False
2015-12-06 17:00:00,0,12,41,False
2015-12-06 18:00:00,0,14,37,False
2015-12-06 19:00:00,0,12,39,False
2015-12-06 20:00:00,0,14,37,False
2015-12-06 21:00:00,0,14,44,False
2015-12-06 22:00:00,0,15,46,False
2015-12-06 23:00:00,0,15,43,False
2015-12-07 00:00:00,0,14,43,False
2015-12-07 01:00:00,0,17,41,False
2015-12-07 02:00:00,0,16,43,False
2015-12-07 03:00:00,0,14,42,False
2015-12-07 04:00:00,0,13,41,False
2015-12-07 05:00:00,0,13,39,False
2015-12-07 06:00:00,0,11,35,False
2015-12-07 07:00:00,0,11,36,False
2015-12-07 08:00:00,0,10,34,False
2015-12-07 09:00:00,0,9,33,False
2015-12-07 10:00:00,0,11,34,False
2015-12-07 11:00:00,0,10,34,False
2015-12-07 12:00:00,0,11,33,False
2015-12-07 13:00:00,0,11,34,False
2015-12-07 14:00:00,0,12,37,False
2015-12-07 15:00:00,0,12,38,False
2015-12-07 16:00:00,0,14,40,False
2015-12-07 17:00:00,0,13,39,False
2015-12-07 18:00:00,0,14,39,False
2015-12-07 19:00:00,0,13,39,False
2015-12-07 20:00:00,0,14,43,False
2015-12-07 21:00:00,0,15,45,False
2015-12-07 22:00:00,0,16,46,False
2015-12-07 23:00:00,0,16,45,False
2015-12-08 00:00:00,0,16,43,False
2015-12-08 01:00:00,0,18,44,False
2015-12-08 02:00:00,0,23,50,False
2015-12-08 03:00:00,0,23,45,False
2015-12-08 04:00:00,0,18,42,False
2015-12-08 05:00:00,0,16,45,False
2015-12-08 06:00:00,0,15,39,False
2015-12-08 07:00:00,0,13,38,False
2015-12-08 08:00:00,0,11,35,False
2015-12-08 09:00:00,0,11,39,False
2015-12-08 10:00:00,0,10,35,False
2015-12-08 11:00:00,0,11,33,False
2015-12-08 12:00:00,0,12,36,False
2015-12-08 13:00:00,0,12,38,False
2015-12-08 14:00:00,0,13,38,False
2015-12-08 15:00:00,0,13,39,False
2015-12-08 16:00:00,0,14,39,False
2015-12-08 17:00:00,0,15,38,False
2015-12-08 18:00:00,0,15,41,False
2015-12-08 19:00:00,0,14,54,False
2015-12-08 20:00:00,0,15,77,False
2015-12-08 21:00:00,0,16,74,False
2015-12-08 22:00:00,0,15,79,False
2015-12-08 23:00:00,0,17,95,False
2015-12-09 00:00:00,0,19,100,False
2015-12-09 00:00:00,0,15,81,False
2015-12-09 01:00:00,0,13,74,False
2015-12-09 02:00:00,0,13,69,False
2015-12-09 03:00:00,0,13,77,False
2015-12-09 04:00:00,0,12,89,False
2015-12-09 05:00:00,0,12,100,False
2015-12-09 06:00:00,0,9,84,False
2015-12-09 07:00:00,0,9,76,False
2015-12-09 08:00:00,0,9,84,False
2015-12-09 09:00:00,0,8,94,False
2015-12-09 10:00:00,0,9,100,False
2015-12-09 11:00:00,0,8,98,False
2015-12-09 12:00:00,0,10,94,False
2015-12-09 13:00:00,0,10,85,False
2015-12-09 14:00:00,0,10,85,False
2015-12-09 15:00:00,0,11,81,False
2015-12-09 16:00:00,0,11,75,False
2015-12-09 17:00:00,0,12,83,False
2015-12-09 18:00:00,0,12,75,False
2015-12-09 19:00:00,0,12,77,False
2015-12-09 20:00:00,0,12,80,False
2015-12-09 21:00:00,0,13,85,False
2015-12-09 22:00:00,0,15,94,False
2015-12-09 23:00:00,0,17,88,False
2015-12-10 00:00:00,0,17,83,False
2015-12-10 01:00:00,0,25,73,False
2015-12-10 02:00:00,0,23,71,False
2015-12-10 03:00:00,0,21,75,False
2015-12-10 04:00:00,0,19,72,False
2015-12-10 05:00:00,0,17,65,False
2015-12-10 06:00:00,0,16,64,False
2015-12-10 07:00:00,0,15,60,False
2015-12-10 08:00:00,0,12,56,False
2015-12-10 09:00:00,0,12,55,False
2015-12-10 10:00:00,0,11,52,False
2015-12-10 11:00:00,0,12,52,False
2015-12-10 12:00:00,0,13,48,False
2015-12-10 13:00:00,0,13,48,False
2015-12-10 14:00:00,0,13,47,False
2015-12-10 15:00:00,0,14,48,False
2015-12-10 16:00:00,0,14,48,False
2015-12-10 17:00:00,0,15,46,False
2015-12-10 18:00:00,0,16,47,False
2015-12-10 19:00:00,0,15,48,False
2015-12-10 20:00:00,0,15,52,False
2015-12-10 21:00:00,0,18,51,False
2015-12-10 22:00:00,0,18,59,False
2015-12-10 23:00:00,0,19,52,False
2015-12-11 00:00:00,0,18,53,False
2015-12-11 01:00:00,0,18,47,False
2015-12-11 02:00:00,0,16,49,False
2015-12-11 03:00:00,0,14,48,False
2015-12-11 04:00:00,0,13,50,False
2015-12-11 05:00:00,0,13,45,False
2015-12-11 06:00:00,0,13,45,False
2015-12-11 07:00:00,0,12,42,False
2015-12-11 08:00:00,0,11,41,False
2015-12-11 09:00:00,0,11,40,False
2015-12-11 10:00:00,0,11,38,False
