date,FCT,NXT,BTN,isPartial
2015-08-28 20:00:00,6,47,22,False
2015-08-28 21:00:00,6,53,21,False
2015-08-28 22:00:00,4,49,23,False
2015-08-28 23:00:00,3,49,27,False
2015-08-29 00:00:00,4,51,30,False
2015-08-29 00:00:00,6,79,47,False
2015-08-29 01:00:00,6,78,43,False
2015-08-29 02:00:00,3,83,43,False
2015-08-29 03:00:00,4,73,45,False
2015-08-29 04:00:00,5,75,47,False
2015-08-29 05:00:00,4,77,47,False
2015-08-29 06:00:00,6,67,45,False
2015-08-29 07:00:00,7,58,48,False
2015-08-29 08:00:00,5,57,39,False
2015-08-29 09:00:00,8,59,44,False
2015-08-29 10:00:00,8,70,43,False
2015-08-29 11:00:00,8,70,36,False
2015-08-29 12:00:00,7,55,41,False
2015-08-29 13:00:00,6,60,35,False
2015-08-29 14:00:00,5,61,33,False
2015-08-29 15:00:00,6,62,31,False
2015-08-29 16:00:00,6,71,26,False
2015-08-29 17:00:00,8,83,26,False
2015-08-29 18:00:00,7,68,23,False
2015-08-29 19:00:00,7,68,19,False
2015-08-29 20:00:00,8,69,18,False
2015-08-29 21:00:00,7,65,19,False
2015-08-29 22:00:00,5,74,25,False
2015-08-29 23:00:00,6,67,33,False
2015-08-30 00:00:00,4,79,36,False
2015-08-30 01:00:00,5,81,35,False
2015-08-30 02:00:00,3,82,43,False
2015-08-30 03:00:00,4,77,45,False
2015-08-30 04:00:00,4,74,42,False
2015-08-30 05:00:00,6,67,42,False
2015-08-30 06:00:00,7,64,43,False
2015-08-30 07:00:00,7,56,47,False
2015-08-30 08:00:00,6,59,46,False
2015-08-30 09:00:00,6,50,42,False
2015-08-30 10:00:00,7,52,38,False
2015-08-30 11:00:00,7,51,37,False
2015-08-30 12:00:00,7,52,40,False
2015-08-30 13:00:00,7,56,35,False
2015-08-30 14:00:00,7,56,33,False
2015-08-30 15:00:00,8,60,29,False
2015-08-30 16:00:00,8,51,29,False
2015-08-30 17:00:00,9,59,26,False
2015-08-30 18:00:00,8,60,22,False
2015-08-30 19:00:00,9,53,26,False
2015-08-30 20:00:00,9,60,29,False
2015-08-30 21:00:00,8,60,26,False
2015-08-30 22:00:00,9,64,33,False
2015-08-30 23:00:00,9,71,55,False
2015-08-31 00:00:00,7,64,70,False
2015-08-31 01:00:00,5,67,69,False
2015-08-31 02:00:00,7,68,95,False
2015-08-31 03:00:00,6,64,84,False
2015-08-31 04:00:00,5,58,100,False
2015-08-31 05:00:00,6,48,72,False
2015-08-31 06:00:00,9,50,72,False
2015-08-31 07:00:00,9,47,66,False
2015-08-31 08:00:00,13,38,57,False
2015-08-31 09:00:00,18,42,49,False
2015-08-31 10:00:00,19,42,50,False
2015-08-31 11:00:00,16,43,49,False
2015-08-31 12:00:00,14,41,37,False
2015-08-31 13:00:00,17,44,38,False
2015-08-31 14:00:00,17,47,35,False
2015-08-31 15:00:00,15,51,32,False
2015-08-31 16:00:00,13,49,30,False
2015-08-31 17:00:00,12,49,58,False
2015-08-31 18:00:00,14,57,29,False
2015-08-31 19:00:00,10,56,26,False
2015-08-31 20:00:00,13,56,29,False
2015-08-31 21:00:00,10,64,26,False
2015-08-31 22:00:00,14,66,39,False
2015-08-31 23:00:00,12,66,71,False
2015-09-01 00:00:00,10,67,73,False
2015-09-01 00:00:00,8,57,62,False
2015-09-01 01:00:00,7,77,66,False
2015-09-01 02:00:00,5,82,79,False
2015-09-01 03:00:00,6,64,81,False
2015-09-01 04:00:00,6,56,100,False
2015-09-01 05:00:00,6,48,58,False
2015-09-01 06:00:00,9,44,65,False
2015-09-01 07:00:00,13,38,62,False
2015-09-01 08:00:00,12,37,48,False
2015-09-01 09:00:00,15,36,50,False
2015-09-01 10:00:00,18,38,43,False
2015-09-01 11:00:00,16,39,45,False
2015-09-01 12:00:00,13,39,33,False
2015-09-01 13:00:00,16,39,29,False
2015-09-01 14:00:00,16,42,31,False
2015-09-01 15:00:00,14,45,30,False
2015-09-01 16:00:00,12,44,26,False
2015-09-01 17:00:00,11,48,50,False
2015-09-01 18:00:00,11,45,36,False
2015-09-01 19:00:00,11,45,27,False
2015-09-01 20:00:00,11,42,24,False
2015-09-01 21:00:00,11,49,22,False
2015-09-01 22:00:00,9,49,34,False
2015-09-01 23:00:00,6,56,68,False
2015-09-02 00:00:00,6,53,69,False
2015-09-02 01:00:00,7,53,58,False
2015-09-02 02:00:00,6,56,82,False
2015-09-02 03:00:00,7,52,84,False
2015-09-02 04:00:00,5,52,95,False
2015-09-02 05:00:00,5,46,65,False
2015-09-02 06:00:00,7,43,65,False
2015-09-02 07:00:00,11,36,59,False
2015-09-02 08:00:00,16,37,52,False
2015-09-02 09:00:00,17,36,46,False
2015-09-02 10:00:00,18,31,47,False
2015-09-02 11:00:00,17,36,43,False
2015-09-02 12:00:00,11,35,34,False
2015-09-02 13:00:00,13,41,32,False
2015-09-02 14:00:00,14,43,30,False
2015-09-02 15:00:00,13,44,25,False
2015-09-02 16:00:00,13,44,27,False
2015-09-02 17:00:00,11,45,49,False
2015-09-02 18:00:00,9,46,30,False
2015-09-02 19:00:00,11,37,26,False
2015-09-02 20:00:00,10,42,23,False
2015-09-02 21:00:00,12,53,24,False
2015-09-02 22:00:00,11,54,33,False
2015-09-02 23:00:00,8,68,69,False
2015-09-03 00:00:00,6,96,77,False
2015-09-03 01:00:00,5,95,69,False
2015-09-03 02:00:00,6,92,86,False
2015-09-03 03:00:00,4,88,85,False
2015-09-03 04:00:00,4,77,98,False
2015-09-03 05:00:00,4,69,73,False
2015-09-03 06:00:00,10,59,64,False
2015-09-03 07:00:00,13,50,56,False
2015-09-03 08:00:00,13,52,55,False
2015-09-03 09:00:00,17,52,50,False
2015-09-03 10:00:00,19,45,45,False
2015-09-03 11:00:00,16,48,42,False
2015-09-03 12:00:00,12,43,31,False
2015-09-03 13:00:00,14,48,31,False
2015-09-03 14:00:00,15,46,27,False
2015-09-03 15:00:00,13,51,27,False
2015-09-03 16:00:00,10,50,28,False
2015-09-03 17:00:00,11,53,70,False
2015-09-03 18:00:00,9,47,45,False
2015-09-03 19:00:00,11,52,28,False
2015-09-03 20:00:00,9,58,28,False
2015-09-03 21:00:00,11,55,29,False
2015-09-03 22:00:00,8,60,37,False
2015-09-03 23:00:00,8,56,64,False
2015-09-04 00:00:00,6,57,82,False
2015-09-04 00:00:00,7,66,96,False
2015-09-04 01:00:00,6,70,85,False
2015-09-04 02:00:00,5,66,97,False
2015-09-04 03:00:00,5,62,95,False
2015-09-04 04:00:00,6,63,100,False
2015-09-04 05:00:00,7,56,70,False
2015-09-04 06:00:00,10,49,68,False
2015-09-04 07:00:00,14,41,62,False
2015-09-04 08:00:00,14,44,52,False
2015-09-04 09:00:00,22,43,48,False
2015-09-04 10:00:00,21,41,50,False
2015-09-04 11:00:00,17,44,55,False
2015-09-04 12:00:00,14,49,39,False
2015-09-04 13:00:00,16,46,41,False
2015-09-04 14:00:00,16,49,32,False
2015-09-04 15:00:00,15,48,32,False
2015-09-04 16:00:00,13,49,31,False
2015-09-04 17:00:00,12,54,55,False
2015-09-04 18:00:00,9,42,40,False
2015-09-04 19:00:00,12,49,37,False
2015-09-04 20:00:00,9,49,32,False
2015-09-04 21:00:00,10,54,33,False
2015-09-04 22:00:00,13,48,37,False
2015-09-04 23:00:00,14,59,42,False
2015-09-05 00:00:00,13,59,50,False
2015-09-05 01:00:00,10,62,55,False
2015-09-05 02:00:00,5,61,51,False
2015-09-05 03:00:00,5,60,60,False
2015-09-05 04:00:00,5,59,47,False
2015-09-05 05:00:00,5,49,48,False
2015-09-05 06:00:00,7,55,48,False
2015-09-05 07:00:00,6,51,47,False
2015-09-05 08:00:00,8,48,47,False
2015-09-05 09:00:00,9,47,41,False
2015-09-05 10:00:00,12,46,43,False
2015-09-05 11:00:00,9,45,42,False
2015-09-05 12:00:00,10,55,44,False
2015-09-05 13:00:00,10,50,44,False
2015-09-05 14:00:00,9,53,47,False
2015-09-05 15:00:00,9,53,66,False
2015-09-05 16:00:00,8,53,70,False
2015-09-05 17:00:00,8,53,56,False
2015-09-05 18:00:00,7,53,63,False
2015-09-05 19:00:00,7,51,39,False
2015-09-05 20:00:00,9,53,29,False
2015-09-05 21:00:00,11,54,31,False
2015-09-05 22:00:00,11,52,34,False
2015-09-05 23:00:00,12,53,37,False
2015-09-06 00:00:00,11,54,45,False
2015-09-06 01:00:00,7,60,41,False
2015-09-06 02:00:00,5,61,43,False
2015-09-06 03:00:00,6,63,46,False
2015-09-06 04:00:00,4,66,45,False
2015-09-06 05:00:00,5,56,50,False
2015-09-06 06:00:00,7,58,49,False
2015-09-06 07:00:00,8,48,42,False
2015-09-06 08:00:00,8,48,41,False
2015-09-06 09:00:00,11,50,43,False
2015-09-06 10:00:00,11,46,40,False
2015-09-06 11:00:00,16,50,45,False
2015-09-06 12:00:00,9,47,39,False
2015-09-06 13:00:00,11,52,42,False
2015-09-06 14:00:00,10,50,37,False
2015-09-06 15:00:00,10,50,33,False
2015-09-06 16:00:00,11,49,27,False
2015-09-06 17:00:00,12,51,29,False
2015-09-06 18:00:00,12,48,23,False
2015-09-06 19:00:00,12,48,23,False
2015-09-06 20:00:00,11,49,21,False
2015-09-06 21:00:00,16,53,23,False
2015-09-06 22:00:00,15,55,34,False
2015-09-06 23:00:00,15,55,63,False
2015-09-07 00:00:00,9,56,78,False
2015-09-07 00:00:00,7,41,57,False
2015-09-07 01:00:00,5,38,57,False
2015-09-07 02:00:00,4,40,72,False
2015-09-07 03:00:00,3,39,70,False
2015-09-07 04:00:00,3,37,79,False
